	chunks	max	min	sd	sttr_100
GO_INSTR_003	28.0	0.66	0.5	0.0398770431631	0.5925
GO_INSTR_004	10.0	0.72	0.63	0.0275862284483	0.687
GO_INSTR_005	11.0	0.73	0.63	0.0330289129538	0.67
GO_INSTR_006	18.0	0.73	0.61	0.0358839005821	0.681111111111
GO_INSTR_007	29.0	0.75	0.51	0.052545207307	0.651034482759
GO_INSTR_008	28.0	0.75	0.45	0.0695200382213	0.6025
GO_INSTR_009	29.0	0.69	0.36	0.0805362526474	0.609655172414
GO_INSTR_010	22.0	0.71	0.44	0.0729046133288	0.595909090909
GO_INSTR_011	29.0	0.71	0.38	0.0824058573585	0.627586206897
GO_INSTR_012	16.0	0.76	0.52	0.0591475908216	0.63125
GO_INSTR_013	20.0	0.73	0.55	0.056382621436	0.629
GO_INSTR_014	28.0	0.77	0.6	0.0465766868197	0.681428571429
GO_INTERVIEW_001	28.0	0.66	0.51	0.0416802698883	0.603571428571
GO_INTERVIEW_002	33.0	0.68	0.47	0.0463071551391	0.586363636364
GO_INTERVIEW_003	40.0	0.72	0.52	0.0496865172859	0.6275
GO_INTERVIEW_004	14.0	0.7	0.53	0.0513342388824	0.600714285714
GO_INTERVIEW_005	26.0	0.76	0.56	0.0394938389323	0.636923076923
GO_INTERVIEW_006	26.0	0.76	0.59	0.053245273702	0.662692307692
GO_INTERVIEW_007	23.0	0.76	0.5	0.0542660253961	0.648260869565
GO_INTERVIEW_008	28.0	0.76	0.59	0.0400891862869	0.69
GO_INTERVIEW_009	24.0	0.69	0.52	0.0453516353987	0.61625
GO_INTERVIEW_010	22.0	0.72	0.55	0.047725108176	0.633636363636
GO_INTERVIEW_011	10.0	0.7	0.64	0.0241039415864	0.663
GO_INTERVIEW_012	14.0	0.71	0.55	0.0430056949243	0.629285714286
GO_INTERVIEW_013	11.0	0.73	0.6	0.0448136637959	0.659090909091
GO_INTERVIEW_014	25.0	0.73	0.54	0.0480832611207	0.632
GO_MEDCONSULT_001	13.0	0.69	0.56	0.0385076646486	0.623076923077
GO_MEDCONSULT_002	3.0	0.72	0.65	0.0309120616517	0.693333333333
GO_MEDCONSULT_003	4.0	0.62	0.56	0.022360679775	0.59
GO_MEDCONSULT_004	10.0	0.71	0.62	0.0272946881279	0.665
